,0
0,0.6520754635732444
1,0.491136151977994
2,0.5351430101462554
3,0.6705961552482114
4,0.7890103433803681
5,0.8688029932367035
6,0.9137446893249087
7,0.9446835894802978
8,0.9624721315447585
9,0.9734912716660812
10,0.9811373917975302
11,0.9869446130425826
12,0.9899266753421226
13,0.9924065810547285
14,0.9940554002239528
15,0.9953593993137507
16,0.996503922417753
17,0.9970901852972655
18,0.997328084234456
19,0.9976461415291207
20,0.9980621638508232
21,0.9985000946634651
22,0.9986328139085966
23,0.9988849854228703
24,0.9989646201500629
25,0.9990442562886549
26,0.999163713142671
27,0.999163713142671
28,0.999163713142671
29,0.9992831731717038
