,0
0,0.6088990642730537
1,0.37614568270681475
2,0.4901453663555873
3,0.6252831807082985
4,0.7532220866513112
5,0.8434539072437797
6,0.8964321719552863
7,0.9313790810622675
8,0.9528431777926298
9,0.9662831066573573
10,0.9760255390781177
11,0.9823179373169966
12,0.9873801881727039
13,0.9903811590549491
14,0.9924890725144764
15,0.9940072317626145
16,0.9952033962493658
17,0.9963126937939677
18,0.9967679058419179
19,0.9972527847385768
20,0.9976110218299347
21,0.9978498624579126
22,0.9984072067054041
23,0.9985664606303449
24,0.9987655359787018
25,0.9989248026100346
26,0.9990044380429409
27,0.9991238938385341
28,0.999163713142671
29,0.999163713142671
