,0
0,0.642743098178107
1,0.46914486279688644
2,0.540116072453677
3,0.6776670104689948
4,0.7899428253549737
5,0.8679469524870616
6,0.9132295840249189
7,0.9447286055666589
8,0.9620611946085583
9,0.9736673422178068
10,0.9811137909267424
11,0.9872141008903013
12,0.9903561093449786
13,0.9927499858106834
14,0.9943148538401397
15,0.9954909760453008
16,0.9966316335375869
17,0.9972173098299589
18,0.9975412617912399
19,0.9978541191589858
20,0.9981376996679623
21,0.9985741333103924
22,0.9987091255030439
23,0.9989475513163182
24,0.9989646109852202
25,0.9990442562886549
26,0.999163713142671
27,0.999163713142671
28,0.999163713142671
29,0.9992831731717038
