,0
0,0.48786340842562687
1,0.28730708975952335
2,0.40133036783207693
3,0.5876919875096732
4,0.7369142465377073
5,0.8362517934598958
6,0.8933103874410234
7,0.9294495073989845
8,0.951711900541352
9,0.9659279339822258
10,0.9755426078557727
11,0.9820812453874985
12,0.9871992644456888
13,0.990284420581158
14,0.9923437870715726
15,0.9938176899206791
16,0.995103877061649
17,0.9962179714686247
18,0.9967751227150667
19,0.9972792880349622
20,0.9976375314765605
21,0.9978763763376113
22,0.9984337304609616
23,0.9985929872072398
24,0.9987920660820574
25,0.9989380688960264
26,0.99901770503415
27,0.999137161887534
28,0.9991769815442587
29,0.9991769815442587
