,0
0,2296.15
1,2296.15
2,2287.8567
3,2287.8567
4,2286.0554
5,2286.0554
6,2287.0337
7,2287.0337
8,2288.7407
9,2288.7407
10,2290.0762
11,2290.0762
12,2290.6975
13,2290.6975
14,2290.8552
15,2290.8552
16,2291.0242
17,2291.0242
18,2291.295
19,2291.295
20,2291.76
21,2291.76
22,2292.647
23,2292.647
24,2293.99
25,2293.99
26,2295.8628
27,2295.8628
28,2298.4177
29,2298.4177
30,2301.7144
31,2301.7144
32,2305.5989
33,2305.5989
34,2309.9822
35,2309.9822
36,2314.6287
37,2314.6287
38,2319.4128
39,2319.4128
40,2324.4844
41,2324.4844
42,2329.2932
43,2329.2932
44,2333.4238
45,2333.4238
46,2337.195
47,2337.195
48,2340.764
49,2340.764
50,2344.491
51,2344.491
52,2347.8193
53,2347.8193
54,2350.102
55,2350.102
56,2351.743
57,2351.743
58,2353.48
59,2353.48
60,2355.7744
61,2355.7744
62,2358.2415
63,2358.2415
64,2360.569
65,2360.569
66,2362.7705
67,2362.7705
68,2364.733
69,2364.733
70,2365.9373
71,2365.9373
72,2366.9438
73,2366.9438
74,2368.1404
75,2368.1404
76,2370.3123
77,2370.3123
78,2373.7876
79,2373.7876
80,2377.5645
81,2377.5645
82,2381.3071
83,2381.3071
84,2384.7986
85,2384.7986
86,2388.2131
87,2388.2131
88,2391.232
89,2391.232
90,2393.5923
91,2393.5923
92,2395.3074
93,2395.3074
94,2395.2627
95,2395.2627
96,2395.6174
97,2395.6174
98,2397.108
99,2397.108
100,2399.7236
101,2399.7236
102,2402.784
103,2402.784
104,2406.9573
105,2406.9573
106,2411.2273
107,2411.2273
108,2415.1907
109,2415.1907
110,2418.5408
111,2418.5408
112,2421.5737
113,2421.5737
114,2424.1492
115,2424.1492
116,2426.648
117,2426.648
118,2428.4653
119,2428.4653
120,2429.7725
121,2429.7725
122,2430.4214
123,2430.4214
124,2430.3606
125,2430.3606
126,2430.1912
127,2430.1912
128,2429.6733
129,2429.6733
130,2429.701
131,2429.701
132,2431.3245
133,2431.3245
134,2434.5078
135,2434.5078
136,2438.9504
137,2438.9504
138,2443.9353
139,2443.9353
140,2448.9316
141,2448.9316
142,2453.5522
143,2453.5522
144,2457.1992
145,2457.1992
146,2460.244
147,2460.244
148,2462.744
149,2462.744
150,2464.8352
151,2464.8352
152,2464.6719
153,2464.6719
154,2463.5476
155,2463.5476
156,2462.4631
157,2462.4631
158,2459.3298
159,2459.3298
160,2456.2705
161,2456.2705
162,2453.7556
163,2453.7556
164,2451.9036
165,2451.9036
166,2451.5205
167,2451.5205
168,2453.0925
169,2453.0925
170,2455.0198
171,2455.0198
172,2457.2522
173,2457.2522
174,2461.2705
175,2461.2705
176,2466.3137
177,2466.3137
178,2471.8904
179,2471.8904
180,2477.5596
181,2477.5596
182,2482.3477
183,2482.3477
184,2485.996
185,2485.996
186,2489.6062
187,2489.6062
188,2494.3179
189,2494.3179
190,2500.4844
191,2500.4844
192,2507.9392
193,2507.9392
194,2515.7373
195,2515.7373
196,2523.458
197,2523.458
198,2530.8152
199,2530.8152
200,2537.7827
201,2537.7827
202,2544.6577
203,2544.6577
204,2550.903
205,2550.903
206,2556.196
207,2556.196
208,2561.3398
209,2561.3398
210,2566.271
211,2566.271
212,2571.245
213,2571.245
214,2576.2615
215,2576.2615
216,2580.6243
217,2580.6243
218,2583.674
219,2583.674
220,2584.8083
221,2584.8083
222,2584.4255
223,2584.4255
224,2583.3838
225,2583.3838
226,2582.2795
227,2582.2795
228,2581.8765
229,2581.8765
230,2582.9756
231,2582.9756
232,2585.0242
233,2585.0242
234,2586.856
235,2586.856
236,2588.6138
237,2588.6138
238,2591.101
239,2591.101
240,2594.277
241,2594.277
242,2599.1113
243,2599.1113
244,2605.3596
245,2605.3596
246,2612.3474
247,2612.3474
248,2619.3716
249,2619.3716
250,2625.935
251,2625.935
252,2633.8635
253,2633.8635
254,2644.572
255,2644.572
256,2656.6672
257,2656.6672
258,2668.9387
259,2668.9387
260,2681.5002
261,2681.5002
262,2694.1462
263,2694.1462
264,2707.781
265,2707.781
266,2721.8054
267,2721.8054
268,2736.5884
269,2736.5884
270,2748.215
271,2748.215
272,2755.174
273,2755.174
274,2748.231
275,2748.231
276,2734.1582
277,2734.1582
278,2716.987
279,2716.987
280,2710.1475
281,2710.1475
282,2713.4602
283,2713.4602
284,2717.8687
285,2717.8687
286,2719.045
287,2719.045
288,2723.1182
289,2723.1182
290,2721.5452
291,2721.5452
292,2715.7388
293,2715.7388
294,2712.8904
295,2712.8904
296,2713.5195
297,2713.5195
298,2719.0344
299,2719.0344
300,2721.893
301,2721.893
302,2722.0166
303,2722.0166
304,2718.7844
305,2718.7844
306,2708.5574
307,2708.5574
308,2695.9912
309,2695.9912
310,2684.803
311,2684.803
312,2675.464
313,2675.464
314,2670.978
315,2670.978
316,2666.8408
317,2666.8408
318,2663.553
319,2663.553
320,2662.431
321,2662.431
322,2663.6384
323,2663.6384
324,2667.8613
325,2667.8613
326,2669.4187
327,2669.4187
328,2666.4229
329,2666.4229
330,2663.428
331,2663.428
332,2661.2234
333,2661.2234
334,2658.2178
335,2658.2178
336,2656.872
337,2656.872
338,2658.7122
339,2658.7122
340,2664.872
341,2664.872
342,2672.5027
343,2672.5027
344,2678.3428
345,2678.3428
346,2682.576
347,2682.576
348,2686.4043
349,2686.4043
350,2689.6462
351,2689.6462
352,2690.4158
353,2690.4158
354,2691.4424
355,2691.4424
356,2695.5818
357,2695.5818
358,2702.524
359,2702.524
360,2710.497
361,2710.497
362,2717.958
363,2717.958
364,2723.855
365,2723.855
366,2727.9072
367,2727.9072
368,2729.96
369,2729.96
370,2729.8438
371,2729.8438
372,2726.6062
373,2726.6062
374,2723.0854
375,2723.0854
376,2721.7415
